name,carrier,p_nom,type,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
Sandy Lane Generation Plant,Landfill Gas,2,Landfill Gas,Feckenham,0,1,1,1
Meece Landfill,Landfill Gas,1.3,Landfill Gas,Daines,0,1,1,1
Granville Landfill Site,Landfill Gas,1.4,Landfill Gas,Feckenham,0,1,1,1
PG1-Coxhoe Waste Disposal Site,Landfill Gas,3.8,Landfill Gas,Stella West,0,1,1,1
PG2 Bolam Power Generation,Landfill Gas,1,Landfill Gas,Stella West,0,1,1,1
Kibblesworth Landfill Site,Landfill Gas,2.3,Landfill Gas,Stella West,0,1,1,1
PG4 St Bedes Power Generation,Landfill Gas,2,Landfill Gas,Stella West,0,1,1,1
Seghill Village Waste Disposal Site phase 1 and 2,Landfill Gas,4.1,Landfill Gas,Stella West,0,1,1,1
Distington Landfill,Landfill Gas,1.8,Landfill Gas,Harker,0,1,1,1
Shearman Field,Landfill Gas,1.9,Landfill Gas,Harker,0,1,1,1
Danes Moss Landfill Site,Landfill Gas,1.6,Landfill Gas,Daines,0,1,1,1
Pilsworth Quarry Landfill Scheme,Landfill Gas,4.1,Landfill Gas,Daines,0,1,1,1
Risley '4' Landfill Scheme,Landfill Gas,5.9,Landfill Gas,Daines,0,1,1,1
Billinge Hill Quarry Landfill Scheme,Landfill Gas,1,Landfill Gas,Penwortham,0,1,1,1
Whinney Hill II Energy,Landfill Gas,1.8,Landfill Gas,Penwortham,0,1,1,1
Deerplay Landfill Site,Landfill Gas,2,Landfill Gas,Penwortham,0,1,1,1
Butchersfield Landfill Site,Landfill Gas,3,Landfill Gas,Daines,0,1,1,1
Shelford Landfill Scheme,Landfill Gas,1.9,Landfill Gas,Sellindge,0,1,1,1
Beddingham 'B' Landfill Scheme,Landfill Gas,7.5,Landfill Gas,Lovedean,0,1,1,1
Stangate Landfill Site,Landfill Gas,4.5,Landfill Gas,Kemsley,0,1,1,1
Offham Landfill Site Phase II,Landfill Gas,1.2,Landfill Gas,Kemsley,0,1,1,1
Shelford Generation Plant II,Landfill Gas,8,Landfill Gas,Sellindge,0,1,1,1
Brookhurst Wood Gas to Energy,Landfill Gas,5.1,Landfill Gas,London,0,1,1,1
Horton Landfill Site,Landfill Gas,2,Landfill Gas,Lovedean,0,1,1,1
Whites Landfill Site (Canford),Landfill Gas,6,Landfill Gas,S.W.Penisula,0,1,1,1
Ardley Fields Farm Landfill Site,Landfill Gas,1.8,Landfill Gas,Sundon/East Claydon,0,1,1,1
Compton Bassett Landfill,Landfill Gas,2,Landfill Gas,Melksham,0,1,1,1
Sutton Courtenay Landfill Scheme,Landfill Gas,5.6,Landfill Gas,Bramley,0,1,1,1
Chapel Farm Landfill,Landfill Gas,3,Landfill Gas,Melksham,0,1,1,1
Dimmer Landfill Gas Scheme,Landfill Gas,2.3,Landfill Gas,S.W.Penisula,0,1,1,1
Dimmer Landfill Site,Landfill Gas,1.9,Landfill Gas,S.W.Penisula,0,1,1,1
Farnham Landfill,Landfill Gas,2.4,Landfill Gas,Bramley,0,1,1,1
Sutton Courtney,Landfill Gas,6,Landfill Gas,Bramley,0,1,1,1
Lidsey Landfill,Landfill Gas,1.4,Landfill Gas,Lovedean,0,1,1,1
Norlands Lane Landfill Site,Landfill Gas,2.7,Landfill Gas,London,0,1,1,1
Westbury Landfill Scheme,Landfill Gas,1.1,Landfill Gas,Melksham,0,1,1,1
Paulsgrove Landfill Site,Landfill Gas,2.4,Landfill Gas,Lovedean,0,1,1,1
Wapsey's Wood II Landfill Site,Landfill Gas,1,Landfill Gas,London,0,1,1,1
Silent Valley Landfill Scheme,Landfill Gas,2.7,Landfill Gas,Melksham,0,1,1,1
Briton Ferry,Landfill Gas,2,Landfill Gas,Melksham,0,1,1,1
Withyhedge Generation Plant,Landfill Gas,2.4,Landfill Gas,Melksham,0,1,1,1
Tythegston Landfill Site,Landfill Gas,1.2,Landfill Gas,Melksham,0,1,1,1
Briton / Neath,Landfill Gas,2.2,Landfill Gas,Melksham,0,1,1,1
Lamby Way Landfill Site,Landfill Gas,4,Landfill Gas,Melksham,0,1,1,1
Nant y Caws Landfill Site,Landfill Gas,1.4,Landfill Gas,Melksham,0,1,1,1
Deep Moor Gas to Energy,Landfill Gas,2,Landfill Gas,S.W.Penisula,0,1,1,1
Chelson Meadow Gas to Energy Scheme,Landfill Gas,1.8,Landfill Gas,S.W.Penisula,0,1,1,1
United Mines Landfill Scheme,Landfill Gas,3,Landfill Gas,S.W.Penisula,0,1,1,1
Poole Generation Plant,Landfill Gas,2.4,Landfill Gas,S.W.Penisula,0,1,1,1
Walpole Landfill,Landfill Gas,1.6,Landfill Gas,S.W.Penisula,0,1,1,1
Bootham Lane,Landfill Gas,1.2,Landfill Gas,Keadby,0,1,1,1
Parkwood Landfill Scheme,Landfill Gas,1.2,Landfill Gas,Th. Marsh/Stocksbridge,0,1,1,1
Immingham Landfill Scheme,Landfill Gas,1,Landfill Gas,Keadby,0,1,1,1
Immingham,Landfill Gas,2,Landfill Gas,Keadby,0,1,1,1
Skelbrooke Landfill Gas Project,Landfill Gas,2.1,Landfill Gas,Th. Marsh/Stocksbridge,0,1,1,1
Soothills Landfill,Landfill Gas,1,Landfill Gas,Th. Marsh/Stocksbridge,0,1,1,1
Roxby Gas to Energy,Landfill Gas,8.5,Landfill Gas,Keadby,0,1,1,1
Winterton Landfill Site,Landfill Gas,3.8,Landfill Gas,Keadby,0,1,1,1
Pitsea Tipp,Landfill Gas,14,Landfill Gas,Kemsley,0,1,1,1
Queens Park Energy,Landfill Gas,1.9,Landfill Gas,Penwortham,0,1,1,1
Highfields South Landfill Gas,Landfill Gas,1,Landfill Gas,Feckenham,0,1,1,1
Black Dog,Landfill Gas,2.2,Landfill Gas,Peterhead,0,1,1,1
Bootham Lane Phase 2,Landfill Gas,1.4,Landfill Gas,Keadby,0,1,1,1
Westmill Qaurry,Landfill Gas,2.6,Landfill Gas,Pelham,0,1,1,1
St Day II,Landfill Gas,2,Landfill Gas,S.W.Penisula,0,1,1,1
Connon Bridge Landfill,Landfill Gas,1,Landfill Gas,S.W.Penisula,0,1,1,1
Rowley,Landfill Gas,1.9,Landfill Gas,Penwortham,0,1,1,1
Withnell LFS,Landfill Gas,2.3,Landfill Gas,Penwortham,0,1,1,1
Lune Power,Landfill Gas,2,Landfill Gas,Penwortham,0,1,1,1
Rossendale Power,Landfill Gas,1.6,Landfill Gas,Penwortham,0,1,1,1
Dogsthorpe South Landfill Site 2,Landfill Gas,1.4,Landfill Gas,Walpole,0,1,1,1
Avondale,Landfill Gas,4,Landfill Gas,Strathaven,0,1,1,1
Springfield Farm,Landfill Gas,1.4,Landfill Gas,London,0,1,1,1
Danes Moss Landfill Site (Extension),Landfill Gas,2,Landfill Gas,Daines,0,1,1,1
Sands Farm Quarry Landfill Site,Landfill Gas,3.5,Landfill Gas,Melksham,0,1,1,1
Squabb Wood,Landfill Gas,1,Landfill Gas,Lovedean,0,1,1,1
Wooton,Landfill Gas,2,Landfill Gas,Sundon/East Claydon,0,1,1,1
Clifton Hall,Landfill Gas,1,Landfill Gas,Daines,0,1,1,1
Chapman's Well,Landfill Gas,1,Landfill Gas,Stella West,0,1,1,1
Mark's Quarry,Landfill Gas,1,Landfill Gas,Stella West,0,1,1,1
Former Pluckley Landfill Site,Landfill Gas,1,Landfill Gas,Kemsley,0,1,1,1
Horncliffe Quarry (Extension),Landfill Gas,1,Landfill Gas,Penwortham,0,1,1,1
Skibeden,Landfill Gas,2,Landfill Gas,Penwortham,0,1,1,1
Ugley,Landfill Gas,1.1,Landfill Gas,Pelham,0,1,1,1
Waresley Landfill Site,Landfill Gas,1.6,Landfill Gas,Feckenham,0,1,1,1
Whiteparish,Landfill Gas,1.1,Landfill Gas,S.W.Penisula,0,1,1,1
Broockhurst Wood,Landfill Gas,2,Landfill Gas,Bramley,0,1,1,1
Bromborough Dock,Landfill Gas,3.7,Landfill Gas,Deeside,0,1,1,1
"Maw Green Landfill Site, Cheshire (Extension)",Landfill Gas,2,Landfill Gas,Daines,0,1,1,1
"Gowy Landfill Site, Cheshire (Extension)",Landfill Gas,6,Landfill Gas,Deeside,0,1,1,1
PG4 St Bedes Power Generation (Extension),Landfill Gas,2,Landfill Gas,Stella West,0,1,1,1
Sutton Landfill Site,Landfill Gas,3,Landfill Gas,Ratcliffe,0,1,1,1
PG4 St Bedes Power Generation (Extension 2),Landfill Gas,1,Landfill Gas,Stella West,0,1,1,1
Arlesey Landfill Site,Landfill Gas,1.1,Landfill Gas,Sundon/East Claydon,0,1,1,1
Brynpica Landfill Site,Landfill Gas,2.7,Landfill Gas,Melksham,0,1,1,1
Southleigh Landfill,Landfill Gas,3.5,Landfill Gas,Lovedean,0,1,1,1
Heathfield 'A' Landfill,Landfill Gas,2,Landfill Gas,S.W.Penisula,0,1,1,1
Ongar Landfill Scheme,Landfill Gas,1,Landfill Gas,Pelham,0,1,1,1
PG2 Bolam Power Generator (Extension),Landfill Gas,1.1,Landfill Gas,Stella West,0,1,1,1
Garlaff Landfill (Extension),Landfill Gas,3,Landfill Gas,Neilston,0,1,1,1
Milton Landfill Site,Landfill Gas,2,Landfill Gas,Pelham,0,1,1,1
Risley Sets 13 & 14,Landfill Gas,2.1,Landfill Gas,Daines,0,1,1,1
Path Head,Landfill Gas,1,Landfill Gas,Stella West,0,1,1,1
Oatslie Landfill Gas,Landfill Gas,2,Landfill Gas,Torness,0,1,1,1
Weston Landfill Site,Landfill Gas,2,Landfill Gas,Sundon/East Claydon,0,1,1,1
West Mill,Landfill Gas,2.5,Landfill Gas,Pelham,0,1,1,1
Skelton Grange Landfill,Landfill Gas,5.2,Landfill Gas,Thornton/Drax/Eggborough,0,1,1,1
Houghton-le-Spring Landfill Site,Landfill Gas,3,Landfill Gas,Stella West,0,1,1,1
Barkip Landfill Site,Landfill Gas,1.2,Landfill Gas,Neilston,0,1,1,1
Lochhead,Landfill Gas,2,Landfill Gas,Denny/Bonnybridge,0,1,1,1
Kaimes Landfill Site,Landfill Gas,2.4,Landfill Gas,Denny/Bonnybridge,0,1,1,1
Greengairs Landfill Scheme Phase VI,Landfill Gas,2.2,Landfill Gas,Strathaven,0,1,1,1
Auchencarroch Landfill,Landfill Gas,2.1,Landfill Gas,Neilston,0,1,1,1
Greenoakhill,Landfill Gas,3.9,Landfill Gas,Neilston,0,1,1,1
Garlaff Landfill,Landfill Gas,1.3,Landfill Gas,Neilston,0,1,1,1
Tarbothill Landfill Site,Landfill Gas,2.2,Landfill Gas,Peterhead,0,1,1,1
Greengairs Landfill Scheme Phase III,Landfill Gas,2,Landfill Gas,Strathaven,0,1,1,1
Greengairs Landfill Scheme Phase IV,Landfill Gas,2,Landfill Gas,Strathaven,0,1,1,1
Greengairs Landfill Scheme Phase I,Landfill Gas,1.9,Landfill Gas,Strathaven,0,1,1,1
Greengairs Landfill Scheme Phase II,Landfill Gas,1.9,Landfill Gas,Strathaven,0,1,1,1
West Quarry,Landfill Gas,4.5,Landfill Gas,Penwortham,0,1,1,1
Lower Melville Wood,Landfill Gas,1,Landfill Gas,Denny/Bonnybridge,0,1,1,1
Bennett Bank Landfill Site (lfg),Landfill Gas,2.2,Landfill Gas,Penwortham,0,1,1,1
Efford Landfill (Newmilton),Landfill Gas,2.8,Landfill Gas,S.W.Penisula,0,1,1,1
Betton Abbots,Landfill Gas,1.3,Landfill Gas,Deeside,0,1,1,1
Burnhills Landfill Scheme (L4),Landfill Gas,1.5,Landfill Gas,Stella West,0,1,1,1
Brenkley Landfill,Landfill Gas,1.9,Landfill Gas,Stella West,0,1,1,1
Burnhills Landfill (L5),Landfill Gas,3.8,Landfill Gas,Stella West,0,1,1,1
Clifton Marsh Energy,Landfill Gas,3.3,Landfill Gas,Penwortham,0,1,1,1
Ulnes Walton Energy,Landfill Gas,1.3,Landfill Gas,Penwortham,0,1,1,1
Jameson Road,Landfill Gas,4.3,Landfill Gas,Penwortham,0,1,1,1
Scouthead Power Plant,Landfill Gas,2.9,Landfill Gas,Daines,0,1,1,1
Runfold Landfill,Landfill Gas,1.2,Landfill Gas,Bramley,0,1,1,1
Narborough Landfill,Landfill Gas,2.7,Landfill Gas,Ratcliffe,0,1,1,1
Lount/Smoile,Landfill Gas,1.1,Landfill Gas,Ratcliffe,0,1,1,1
Sidegate Lane,Landfill Gas,2.4,Landfill Gas,Sundon/East Claydon,0,1,1,1
Godmanchester,Landfill Gas,3,Landfill Gas,Pelham,0,1,1,1
Binn Landfill,Landfill Gas,1.9,Landfill Gas,Denny/Bonnybridge,0,1,1,1
Auchinlea Landfill Site,Landfill Gas,2.3,Landfill Gas,Strathaven,0,1,1,1
Ufton,Landfill Gas,1,Landfill Gas,Feckenham,0,1,1,1
Wilnecote Landfill Site,Landfill Gas,1,Landfill Gas,Feckenham,0,1,1,1
Pebsham,Landfill Gas,3,Landfill Gas,Sellindge,0,1,1,1
Redhill 2,Landfill Gas,3,Landfill Gas,London,0,1,1,1
Shakespeare Farm Landfill Site,Landfill Gas,1,Landfill Gas,Kemsley,0,1,1,1
Harn Hill Quarry Landfill Site,Landfill Gas,2.6,Landfill Gas,Melksham,0,1,1,1
Beacon Hill,Landfill Gas,3,Landfill Gas,S.W.Penisula,0,1,1,1
Patteson Court Landfill Site,Landfill Gas,1.8,Landfill Gas,London,0,1,1,1
"Rainham Landfill Scheme, Phase I",Landfill Gas,3.9,Landfill Gas,London,0,1,1,1
South Cathkin Landfill Site,Landfill Gas,7.4,Landfill Gas,Neilston,0,1,1,1
Connon Bridge Landfill Gas Project,Landfill Gas,5.2,Landfill Gas,S.W.Penisula,0,1,1,1
Mayton Wood Landfill Site,Landfill Gas,1.5,Landfill Gas,Walpole,0,1,1,1
Blackborough End Landfill Site,Landfill Gas,1.5,Landfill Gas,Walpole,0,1,1,1
Whinney Hill Waste Disposal Site,Landfill Gas,1.2,Landfill Gas,Penwortham,0,1,1,1
Queen's Park Road Energy,Landfill Gas,1.8,Landfill Gas,Penwortham,0,1,1,1
Chelson Meadow 2,Landfill Gas,1.4,Landfill Gas,S.W.Penisula,0,1,1,1
Costessey Landfill Gas Project 2,Landfill Gas,2,Landfill Gas,Bramford,0,1,1,1
Summerston Landfill,Landfill Gas,2.8,Landfill Gas,Neilston,0,1,1,1
Barling Hall Farm,Landfill Gas,2.4,Landfill Gas,Kemsley,0,1,1,1
Bellhouse South,Landfill Gas,3.9,Landfill Gas,Bramford,0,1,1,1
Mucking Gas 3 Landfill Scheme,Landfill Gas,3.9,Landfill Gas,Kemsley,0,1,1,1
Sidegate Lane Landfill Site,Landfill Gas,1.3,Landfill Gas,Sundon/East Claydon,0,1,1,1
Mucking Gas 2 Landfill Scheme,Landfill Gas,3.8,Landfill Gas,Kemsley,0,1,1,1
Heathfield 'C' Landfill Scheme,Landfill Gas,2.2,Landfill Gas,S.W.Penisula,0,1,1,1
Lincoln Landfill Scheme,Landfill Gas,2,Landfill Gas,Keadby,0,1,1,1
Bretby Power,Landfill Gas,1.6,Landfill Gas,Ratcliffe,0,1,1,1
Bootham Lane Landfill,Landfill Gas,2.7,Landfill Gas,Keadby,0,1,1,1
Peckfield Quarry Landfill Scheme,Landfill Gas,3.9,Landfill Gas,Thornton/Drax/Eggborough,0,1,1,1
Horncliffe Quarry,Landfill Gas,1,Landfill Gas,Penwortham,0,1,1,1
Dunlop Landfill Gas Scheme,Landfill Gas,2.4,Landfill Gas,Neilston,0,1,1,1
Bonnyrigg,Landfill Gas,2.2,Landfill Gas,Torness,0,1,1,1
Salt Ayre,Landfill Gas,4,Landfill Gas,Penwortham,0,1,1,1
Mountsorrel Landfill Site,Landfill Gas,1.6,Landfill Gas,Ratcliffe,0,1,1,1
Fairoak Landfill,Landfill Gas,1.5,Landfill Gas,Lovedean,0,1,1,1
Boston Landfill Scheme,Landfill Gas,1.3,Landfill Gas,Walpole,0,1,1,1
Trumps Farm Landfill Scheme,Landfill Gas,2.9,Landfill Gas,Bramley,0,1,1,1
High Heavens Landfill,Landfill Gas,1.9,Landfill Gas,Bramley,0,1,1,1
Docksway Landfill Scheme,Landfill Gas,2,Landfill Gas,Melksham,0,1,1,1
Cranford,Landfill Gas,1.1,Landfill Gas,Sundon/East Claydon,0,1,1,1
Ling Hall 1,Landfill Gas,3,Landfill Gas,Feckenham,0,1,1,1
Wapsey's Wood III,Landfill Gas,1,Landfill Gas,London,0,1,1,1
Greengairs Landfill Scheme Phase V,Landfill Gas,2.2,Landfill Gas,Strathaven,0,1,1,1
Seamer Carr,Landfill Gas,1.3,Landfill Gas,Thornton/Drax/Eggborough,0,1,1,1
Harewood Whin Landfill Site,Landfill Gas,2.4,Landfill Gas,Thornton/Drax/Eggborough,0,1,1,1
Lochhead Landfill Scheme,Landfill Gas,2,Landfill Gas,Errochty,0,1,1,1
Staveley Power,Landfill Gas,2.1,Landfill Gas,Th. Marsh/Stocksbridge,0,1,1,1
Albury Landfill,Landfill Gas,1.5,Landfill Gas,Bramley,0,1,1,1
Trecatti,Landfill Gas,7,Landfill Gas,Melksham,0,1,1,1
Gallymoor Landfill,Landfill Gas,2.9,Landfill Gas,Thornton/Drax/Eggborough,0,1,1,1
Meadow Hall Power,Landfill Gas,1.1,Landfill Gas,Th. Marsh/Stocksbridge,0,1,1,1
Arlesey Landfill Gas (Extension),Landfill Gas,2.3,Landfill Gas,Sundon/East Claydon,0,1,1,1
Wapsey's Wood,Landfill Gas,7.5,Landfill Gas,London,0,1,1,1
Standen Heath,Landfill Gas,1.5,Landfill Gas,Lovedean,0,1,1,1
Risley,Landfill Gas,2,Landfill Gas,Daines,0,1,1,1
Hitchin,Landfill Gas,1.5,Landfill Gas,Sundon/East Claydon,0,1,1,1
Pebsham (Extension),Landfill Gas,1,Landfill Gas,Sellindge,0,1,1,1
Arden Quarry Landfill,Landfill Gas,3.1,Landfill Gas,Daines,0,1,1,1
Capel Landfill,Landfill Gas,1,Landfill Gas,London,0,1,1,1
Folly Lane,Landfill Gas,1,Landfill Gas,Walpole,0,1,1,1
Auchencarroch Landfill Extension,Landfill Gas,2,Landfill Gas,Neilston,0,1,1,1
Rigby Landfill,Landfill Gas,3,Landfill Gas,Penwortham,0,1,1,1
Stoneyhill Landfill Site,Landfill Gas,4.3,Landfill Gas,Peterhead,0,1,1,1
Norlands Lane Landfill Site (Extension),Landfill Gas,4,Landfill Gas,London,0,1,1,1
Roxwell Landfill Scheme,Landfill Gas,1.3,Landfill Gas,Pelham,0,1,1,1
Kirkless Power,Landfill Gas,2.1,Landfill Gas,Penwortham,0,1,1,1
Dunbar Power Plant,Landfill Gas,14,Landfill Gas,Torness,0,1,1,1
Dunbar,Landfill Gas,2.2,Landfill Gas,Torness,0,1,1,1
Whitehead Landfill,Landfill Gas,5.3,Landfill Gas,Daines,0,1,1,1
Colnbrook Landfill,Landfill Gas,1.9,Landfill Gas,London,0,1,1,1
Dorket Head,Landfill Gas,2.8,Landfill Gas,Ratcliffe,0,1,1,1
Drummond Moor Landfill,Landfill Gas,2,Landfill Gas,Torness,0,1,1,1
"Netley Landfill Site, Hampshire (Extension)",Landfill Gas,1.2,Landfill Gas,Lovedean,0,1,1,1
Pitsea Landfill Scheme,Landfill Gas,11.6,Landfill Gas,Kemsley,0,1,1,1
PwllfaWatkin Landfill Gas Site,Landfill Gas,3.2,Landfill Gas,Melksham,0,1,1,1
Scorton,Landfill Gas,1,Landfill Gas,Stella West,0,1,1,1
Colchester STW,Sewage Sludge Digestion,1.2,Sewage Sludge Digestion,Bramford,0,1,1,1
Cardiff Waste Water Treatment,Sewage Sludge Digestion,5.5,Sewage Sludge Digestion,Melksham,0,1,1,1
Longreach STW - extension,Sewage Sludge Digestion,1.1,Sewage Sludge Digestion,London,0,1,1,1
Riverside Sewage Treatment Works Digestion Plant,Sewage Sludge Digestion,4,Sewage Sludge Digestion,London,0,1,1,1
Howdon STW,Sewage Sludge Digestion,6,Sewage Sludge Digestion,Stella West,0,1,1,1
Esholt WWTW,Sewage Sludge Digestion,3,Sewage Sludge Digestion,Th. Marsh/Stocksbridge,0,1,1,1
Trowbridge Sewage Treatment Works,Sewage Sludge Digestion,1.2,Sewage Sludge Digestion,Melksham,0,1,1,1
Crossness Sewage Works,Sewage Sludge Digestion,5.7,Sewage Sludge Digestion,London,0,1,1,1
Beckton STW Enhanced Sludge Digestion,Sewage Sludge Digestion,5.8,Sewage Sludge Digestion,London,0,1,1,1
Minsworth Sewage Treatment Works,Sewage Sludge Digestion,9.7,Sewage Sludge Digestion,Feckenham,0,1,1,1
Slough Sewage Treatment Works,Sewage Sludge Digestion,1.2,Sewage Sludge Digestion,Bramley,0,1,1,1
Wello Penguin Device (Billia Croo - EMEC),Shoreline Wave,1,Shoreline Wave,Beauly,0,1,1,1
Hayle Wave Hub (Test Site),Shoreline Wave,23,Shoreline Wave,S.W.Penisula,0,1,1,1
Aberthaw Power Station Biomass,Biomass (co-firing),35,Biomass (co-firing),Melksham,44,1,1,0.73
Drax Biomass Power Station - Unit 1,Biomass (co-firing),645,Biomass (co-firing),Thornton/Drax/Eggborough,44,1,1,0.73
Uskmouth Power Station,Biomass (co-firing),18,Biomass (co-firing),Melksham,44,1,1,0.73
Thetford Biomass Power Station,Biomass (dedicated),38.5,Biomass (dedicated),Walpole,44,1,1,0.73
Chilton Energy Plant,Biomass (dedicated),18,Biomass (dedicated),Stella West,44,1,1,0.73
Double H Nurseries Biomass Plant,Biomass (dedicated),1.5,Biomass (dedicated),S.W.Penisula,44,1,1,0.73
Beckton STW Biodiesel Power Plant,Biomass (dedicated),8,Biomass (dedicated),London,44,1,1,0.73
Buslingthorpe Power Station (Leeds North),Biomass (dedicated),2,Biomass (dedicated),Thornton/Drax/Eggborough,44,1,1,0.73
Invergordon Pellet Mill,Biomass (dedicated),5,Biomass (dedicated),Beauly,44,1,1,0.73
Caledonian Papermill,Biomass (dedicated),26,Biomass (dedicated),Neilston,44,1,1,0.73
Wilton International,Biomass (dedicated),35.2,Biomass (dedicated),Stella West,44,1,1,0.73
South View Farm,Biomass (dedicated),2,Biomass (dedicated),Thornton/Drax/Eggborough,44,1,1,0.73
Cowie Biomass Facility,Biomass (dedicated),15,Biomass (dedicated),Denny/Bonnybridge,44,1,1,0.73
Thornton Power Station,Biomass (dedicated),9,Biomass (dedicated),Penwortham,44,1,1,0.73
Iggesund Paperboard CHP Plant,Biomass (dedicated),49,Biomass (dedicated),Harker,44,1,1,0.73
Goosey Lodge Industrial Estate,Biomass (dedicated),16,Biomass (dedicated),Sundon/East Claydon,44,1,1,0.73
Western Wood Energy Plant,Biomass (dedicated),14,Biomass (dedicated),Melksham,44,1,1,0.73
Eccleshall Biomass,Biomass (dedicated),2.6,Biomass (dedicated),Daines,44,1,1,0.73
Westfield Biomass Power Station,Biomass (dedicated),12.5,Biomass (dedicated),Denny/Bonnybridge,44,1,1,0.73
Derriford Hospital,Biomass (dedicated),1.5,Biomass (dedicated),S.W.Penisula,44,1,1,0.73
Rampton Hospital Energy Centre,Biomass (dedicated),1.2,Biomass (dedicated),Keadby,44,1,1,0.73
Elean Business Park Biomass Plant,Biomass (dedicated),40,Biomass (dedicated),Walpole,44,1,1,0.73
Eye Biomass Plant,Biomass (dedicated),14.3,Biomass (dedicated),Bramford,44,1,1,0.73
King's Yard,Biomass (dedicated),3,Biomass (dedicated),London,44,1,1,0.73
Ridham CHP Plant,Biomass (dedicated),25,Biomass (dedicated),Kemsley,44,1,1,0.73
Markley Group (Premiere Kitckens) Biomass,Biomass (dedicated),2.1,Biomass (dedicated),Melksham,44,1,1,0.73
Heathrow Airport Biomass CHP,Biomass (dedicated),1.8,Biomass (dedicated),London,44,1,1,0.73
Bentwaters CHP,Biomass (dedicated),4.6,Biomass (dedicated),Bramford,44,1,1,0.73
SAICA Paper Mill,Biomass (dedicated),41.6,Biomass (dedicated),Daines,44,1,1,0.73
Rothes Bio-Plant,Biomass (dedicated),8.3,Biomass (dedicated),Beauly,44,1,1,0.73
Beckton Gas Pressure Reduction Station,Biomass (dedicated),19,Biomass (dedicated),London,44,1,1,0.73
Brigg Renewable Energy Plant (Re-submission),Biomass (dedicated),40,Biomass (dedicated),Keadby,44,1,1,0.73
Markinch Biomass CHP Plant,Biomass (dedicated),65,Biomass (dedicated),Denny/Bonnybridge,44,1,1,0.73
Blackburn Meadows Biomass Plant,Biomass (dedicated),30,Biomass (dedicated),Th. Marsh/Stocksbridge,44,1,1,0.73
Diageo Biomass Energy Project,Biomass (dedicated),5.5,Biomass (dedicated),Denny/Bonnybridge,44,1,1,0.73
Northampton General Hospital,Biomass (dedicated),1.9,Biomass (dedicated),Sundon/East Claydon,44,1,1,0.73
Snetterton Biomass Plant,Biomass (dedicated),44.2,Biomass (dedicated),Bramford,44,1,1,0.73
Speyside Biomass CHP Plant,Biomass (dedicated),12.5,Biomass (dedicated),Beauly,44,1,1,0.73
Drax Biomass Power Station - Unit 2,Biomass (dedicated),645,Biomass (dedicated),Thornton/Drax/Eggborough,44,1,1,0.73
Stevens Croft,Biomass (dedicated),50.4,Biomass (dedicated),Harker,44,1,1,0.73
Macphie of Glenbervie,Biomass (dedicated),1.2,Biomass (dedicated),Peterhead,44,1,1,0.73
Sleaford Renewable Energy Plant,Biomass (dedicated),40,Biomass (dedicated),Ratcliffe,44,1,1,0.73
Sustainable Power and Research Campus,Biomass (dedicated),6.5,Biomass (dedicated),Torness,44,1,1,0.73
Whitemoor,Biomass (dedicated),18,Biomass (dedicated),Thornton/Drax/Eggborough,44,1,1,0.73
Felinfach,Biomass (dedicated),3.2,Biomass (dedicated),Deeside,44,1,1,0.73
Pulteney Distillery,Biomass (dedicated),3.5,Biomass (dedicated),Peterhead,44,1,1,0.73
Barnsley 1.5,Biomass (dedicated),9,Biomass (dedicated),Th. Marsh/Stocksbridge,44,1,1,0.73
Spalding.1,Biomass (dedicated),14.5,Biomass (dedicated),Walpole,44,1,1,0.73
Balderton,Biomass (dedicated),20.3,Biomass (dedicated),Ratcliffe,44,1,1,0.73
Loicher Lane,Biomass (dedicated),8,Biomass (dedicated),Th. Marsh/Stocksbridge,44,1,1,0.73
ABP Ellesmere Abbatoir,Biomass (dedicated),1.1,Biomass (dedicated),Deeside,44,1,1,0.73
Wind Offshore Deeside,Wind Offshore,597.64917,Wind Offshore,Deeside,0,1,1,1
Wind Offshore Sellindge,Wind Offshore,219.72395,Wind Offshore,Sellindge,0,1,1,1
Wind Offshore Stella West,Wind Offshore,45.48286,Wind Offshore,Stella West,0,1,1,1
Wind Offshore Penwortham,Wind Offshore,729.62999,Wind Offshore,Penwortham,0,1,1,1
Wind Offshore Bramford,Wind Offshore,1009.851326,Wind Offshore,Bramford,0,1,1,1
Wind Offshore Torness,Wind Offshore,5.126892,Wind Offshore,Torness,0,1,1,1
Wind Offshore Walpole,Wind Offshore,886.51289,Wind Offshore,Walpole,0,1,1,1
Wind Offshore Kemsley,Wind Offshore,102.17164,Wind Offshore,Kemsley,0,1,1,1
Wind Offshore Peterhead,Wind Offshore,7.324132,Wind Offshore,Peterhead,0,1,1,1
Wind Offshore Harker,Wind Offshore,127.4399,Wind Offshore,Harker,0,1,1,1
Wind Onshore Thornton/Drax/Eggborough,Wind Onshore,258.6042014,Wind Onshore,Thornton/Drax/Eggborough,0,1,1,1
Wind Onshore Ratcliffe,Wind Onshore,125.8274818,Wind Onshore,Ratcliffe,0,1,1,1
Wind Onshore Keadby,Wind Onshore,264.0709284,Wind Onshore,Keadby,0,1,1,1
Wind Onshore Feckenham,Wind Onshore,22.2375524,Wind Onshore,Feckenham,0,1,1,1
Wind Onshore Melksham,Wind Onshore,305.8589977,Wind Onshore,Melksham,0,1,1,1
